Type,Location Name,Business Unit,Capacity (kW),Co-ordinate
SOLAR,BANGALORE,AVIATION,10.0,"13.1989° N, 77.7069° E"
SOLAR,BHUBANESHWAR,AVIATION,1.3,"20.2507° N, 85.8145° E"
SOLAR,CALICUT,AVIATION,10.0,"11.14669,75.9475"
SOLAR,COCHIN,AVIATION,5.0,"10.15856, 76.38505"
SOLAR,DIBRUGARH,AVIATION,0.3,"27.4789,95.0174"
SOLAR,GUWAHATI,AVIATION,0.4,"26.1151648, 91.5981386"
SOLAR,GWALIOR,AVIATION,10.0,"26.2938, 78.2279"
SOLAR,MYSORE   ,AVIATION,5.0,"12.2310° N, 76.6542° E"
SOLAR,IMPHAL,AVIATION,0.4,"24.7659035° N, 93.8991289° E"
SOLAR,KALABURGI,AVIATION,5.0,"17°18.59', 76°57.43"
SOLAR,RANCHI,AVIATION,0.1,"23.3174, 85.3255"
SOLAR,SHILLONG,AVIATION,0.1,"25.705542, 91.974591"
SOLAR,SIRSA,AVIATION,10.0,"29.56060, 75.00610"
SOLAR,VARANASI,AVIATION,5.0,"25.4507,  82.8560"
SOLAR,CRDC,CRDC,1050.0,"28.5253, 77.4785"
SOLAR,AJMER LPG,LPG,130.0,"26.374962,74.761977"
SOLAR,BANGALORE LPG,LPG,60.0,"13.07103,77.23473"
SOLAR,BHATINDA LPG,LPG,50.0,"30.158573,74.955093"
SOLAR,Bhitoni LPG,LPG,240.0,"23.1424,79.6828"
SOLAR,BIKANER LPG,LPG,130.0,"28.177661,73.393355"
SOLAR,BOLANGIR LPG,LPG,140.0,"20.7388° N,83.4532° E"
SOLAR,Gummundipunddi LPG,LPG,252.0,"13.40423,80.10187"
SOLAR,HARIYALA LPG,LPG,60.0,"24.564,73.879"
SOLAR,JALGAON LPG,LPG,130.0,"20.9936,75.5945"
SOLAR,JHANSI LPG,LPG,50.0,"25.538,78.50789628"
SOLAR,LALRU LPG,LPG,50.0,"30.4936,76.80437"
SOLAR,Loni LPG,LPG,260.0,"28.72232,77.330293"
SOLAR,NAGPUR LPG,LPG,40.0,"20.9226,78.9405"
SOLAR,NASIK LPG,LPG,40.0,"19.8807,73.9597"
SOLAR,PEETHAMPUR LPG,LPG,50.0,"22.6235,75.6173"
SOLAR,Piyala LPG,LPG,300.0,"28.266995,77.317724"
SOLAR,PUNE LPG,LPG,50.0,"18.6943,74.0774"
SOLAR,RAIPUR LPG,LPG,60.0,"21.4606,81.8233"
SOLAR,RAJKOT LPG,LPG,125.0,"22.3178,70.8812"
SOLAR,ROORKEE LPG,LPG,45.0,"29.795563,77.946663"
SOLAR,SALEEMPUR LPG,LPG,90.0,"27.663269,78.251092"
SOLAR,SHOLAPUR LPG,LPG,140.0,"17.749,75.796"
SOLAR,TANJORE LPG,LPG,130.0,"10.681082,78.97342"
SOLAR,UDAIPUR LPG,LPG,30.0,"24.564,73.879"
SOLAR,ULUBERIA LPG,LPG,45.0,"22.477092 N,88.061082 E"
SOLAR,Uran LPG,LPG,410.0,"18.8762,72.9772"
SOLAR,Cherlapalli,LPG,66.0,"17.45096,78.60443"
SOLAR,ALLAHABAD,LPG,15.0,"25.335,81.916"
SOLAR,BAKANIA,LPG,7.5,"23.2649,77.2682"
SOLAR,BAREILLY,LPG,6.5,"28.43369,79.35506"
SOLAR,BHATINDA,LPG,60.0,"30.158573,74.955093"
SOLAR,COIMBATORE,LPG,9.0,"11.038003,76.996779"
SOLAR,DHARWAD,LPG,7.5,"15.49882,74.91123"
SOLAR,DURGAPUR,LPG,10.0,"23.48232 N,87.38417 E"
SOLAR,HAZIRA,LPG,12.5,"21.1698,72.7353"
SOLAR,JAIPUR,LPG,15.0,"26.99,75.78"
SOLAR,KURNOOL,LPG,13.5,"26.374962,74.761977"
SOLAR,LUCKNOW,LPG,13.0,"26.936,80.984"
SOLAR,PATNA,LPG,9.0,"25.5018278,85.31688"
SOLAR,PUNE,LPG,50.0,"18.6943,74.0774"
SOLAR,RAIGANJ,LPG,15.0,"25.682047 E,88.07119 N"
SOLAR,SINNER,LPG,53.5,"19.8807,73.9597"
SOLAR,TRIVANDRUM,LPG,5.0,"8.5567, 76.86518"
SOLAR,WAI,LPG,5.0,"17.9757,73.8965"
SOLAR,BUDGE BUDGE,LUBRICANTS,190.0,"22.4857, 88.1790"
SOLAR,LONI,LUBRICANTS,17.0,"28.730200, 77.328590  "
SOLAR,WADILUBE,LUBRICANTS,10.0,"18.96047, 72.8454"
SOLAR,BKPL-Bina-SV/IP,Pipeline,154.8,"24.255227485516084, 78.1808942487811"
SOLAR,BPPL-Bina-SV/IP,Pipeline,96.0,"24.255227485516084, 78.1808942487811"
SOLAR,BPPL-Panki-SV/IP,Pipeline,115.2,"26°27'35.2""N 80°11'20.5""E"
SOLAR,CCKPL-Cochin-SV/IP,Pipeline,26.4,"9°58'38.7""N 76°21'07.0""E"
SOLAR,CCKPL-Irugur-SV/IP,Pipeline,32.0,11.025750°N 77.081738°E
SOLAR,CCKPL-Karur-SV/IP,Pipeline,12.8,"10.9601° N, 78.0766° E"
SOLAR,KJPL-Jobner-SV/IP,Pipeline,42.5,"26.89644,75.43436"
SOLAR,MMBPL-Bijwasan-SV/IP,Pipeline,6.4,"28.54788, 77.06000"
SOLAR,MMBPL-Gujari-SV/IP,Pipeline,2.0,"22.329273 , 75.501053"
SOLAR,MMBPL-Kota-SV/IP,Pipeline,61.2,"25.190637,75.974956"
SOLAR,MMBPL-Manglya-SV/IP,Pipeline,28.8,"22.822268, 75.90173"
SOLAR,MMBPL-Manmad-SV/IP,Pipeline,810.5,"20.27,74.495833"
SOLAR,MMBPL-Mathura-SV/IP,Pipeline,4.8,"27.38052, 77.6990"
SOLAR,MMBPL-Mumbai-SV/IP,Pipeline,39.8,"19.01402, 72.89851"
SOLAR,MMBPL-Piyala-SV/IP,Pipeline,6.4,"28.2751, 77.3090"
SOLAR,MMBPL-Sanghvi-SV/IP,Pipeline,46.8,"21.478333,75.001389"
SOLAR,MUPL-Uran-SV/IP,Pipeline,6.4,"18.8762,72.9772"
SOLAR,SALAWAS POL,Retail,70.0,"26.1405144,73.0232802"
SOLAR,BRIJWASAN POL,Retail,90.0,"28.54501, 77.0612"
SOLAR,BHATINDA POL,Retail,80.0,"30.166780417443423, 74.97922778118269"
SOLAR,SANGANER POL,Retail,40.0,"26.780590863362033, 75.82543414077864"
SOLAR,JALANDHAR POL,Retail,50.0,"31.3452572, 75.6162565"
SOLAR,GONDA POL,Retail,50.0,27.1475 ; 81.9518
SOLAR,MATHURA POL,Retail,135.0,27.3807256 ; 77.6988832
SOLAR,PANIPAT POL,Retail,80.0,"29.485716926429504, 76.88975476821388"
SOLAR,AONLA POL,Retail,50.0,28.2924328 ; 79.1651154
SOLAR,MUGALSARAI POL,Retail,60.0,25.2830782 ; 83.1444247
SOLAR,REWARI POL,Retail,40.0,"28.1410, 76.6034"
SOLAR,LALRU POL,Retail,50.0,"30.4679574, 76.7876386"
SOLAR,KANPUR POL,Retail,50.0,26.461443 ; 80.187268
SOLAR,KOTA TOP POL,Retail,100.0,"25.1923,75.9737"
SOLAR,BALASORE POL,Retail,50.0,"21.497, 86.8456"
SOLAR,MALDA POL,Retail,25.0,"25.010362 N, 88.164303 E"
SOLAR,PARADIP POL,Retail,70.0,"20.28449, 86.63097"
SOLAR,RAJBANDH POL,Retail,75.0,"23.483326,87.3867673"
SOLAR,BUDGE-BUDGE POL,Retail,140.0,"22.484 E, 88.179745 N"
SOLAR,BARAUNI POL,Retail,100.0,"25.4402667,86.0467377"
SOLAR,MUZAFFARPUR POL,Retail,50.0,"26.084816, 85.407801"
SOLAR,HALDIA POL,Retail,70.0,"22°03'35.0""N 88°08'01.2""E"
SOLAR,IRRIMPANAM POL,Retail,140.0,"9.977900354509174, 76.35259730781931"
SOLAR,IRUGUR POL,Retail,80.0,"11.025475 , 77.084600"
SOLAR,DEVANGONTHI POL,Retail,140.0,"12.986746, 77.845710"
SOLAR,ONGOLE POL,Retail,90.0,"15.397669, 80.040007"
SOLAR,MANGALORE POL,Retail,80.0,"12.95860, 74.81033"
SOLAR,VISHAKHAPATNAM POL,Retail,50.0,"17.705729, 83.252173"
SOLAR,DESUR POL,Retail,45.0,"15.755754188497683, 74.49468137921241"
SOLAR,MYSORE POL,Retail,60.0,"12.342518, 76.639365"
SOLAR,ENNORE POL,Retail,90.0,"13.243042,80.310871"
SOLAR,BORKHEDI POL,Retail,140.0,"20°51'27.9""N 78°58'11.2""E"
SOLAR,PAKNI POL,Retail,130.0,"17.73078,75.784209"
SOLAR,HAZIRA POL,Retail,40.0,"21.18639, 72.71628"
SOLAR,MANGLIA TERMINAL POL,Retail,140.0,"22.816587,75.920786"
SOLAR,BHITONI POL,Retail,140.0,"23.143152,79.688748"
SOLAR,Manmad POL,Retail,1488.0,"20.269661686051226, 74.49422133625464"
SOLAR,Piyala POL,Retail,500.0,"28.27527199082731, 77.31046157687351"
SOLAR,Karur POL,Retail,375.0,"10.99341, 78.04024"
SOLAR,Jobner POL,Retail,200.0,"26.8963002,75.4294523"
SOLAR,AKOLNER,Retail,13.0,18.993619 & 74.668397
SOLAR,BAKANIA,Retail,20.0,"23.265855, 77.268642"
SOLAR,CHERLAPALLI,Retail,66.0,"17.4528774, 78.6009852"
SOLAR,GAIGAON,Retail,25.0,"20.7206288,76.9073016"
SOLAR,GOOTY,Retail,40.0,"15.141553, 77.650572"
SOLAR,KAKINADA,Retail,240.0,"17.004168, 82.273528"
SOLAR,KOYALI,Retail,20.0,"22.38046369400197, 73.12905435783603"
SOLAR,MIRAJ,Retail,30.0,"16.827998, 74.636595"
SOLAR,NAVEGAON,Retail,40.0,"22.823819, 72.609361"
SOLAR,SIDHPUR,Retail,50.0,"23.9555282, 72.3647412"
SOLAR,Bina Refinery Ground-Mounted,Refinery,22000,"24.250,78.175"
SOLAR,Kochi CISF Colony Ground-Mounted,-,8400,"9.9702,76.363"
SOLAR,Kochi STF Floating ,-,5200,"9.984,76.2238"
SOLAR,Kochi RWH Floating ,-,4600,"9.9674,76.388"
SOLAR,Mumbai Refinery ,Refinery ,1500,"19.01682, 72.89415"
SOLAR,Kochi Refinery ,Refinery,500,"9.9722, 76.378"
SOLAR,Western Regional Office,HRS,40,"19.0292, 73.06422"
SOLAR,Northern Regional Office,HRS,25,"28.5882, 77.3074"
SOLAR,Southern Regional Office,HRS,150,"13.0877, 80.2086"
WIND,HTP13,-,2100,"14 44 20.6,75 58 36.6"
WIND,HTP14,-,2100,"14 44 35.9, 75 58 48.2"
WIND,HTP18,-,2100,"14 44 55.7, 75 59 07.5"
WIND,K327 (Kapatgudda),-,1250,"15 06 10.5, 75 49 39.5"
WIND,K328(Kapatgudda),-,1250,"15 06 05.5, 75 49 46.4"
WIND,K329(Kapatgudda),-,1250,"15 05 53.4, 75 49 46.9"
WIND,K330(Kapatgudda),-,1250,"15 05 45.4, 75 49 54.9"
WIND,Kumarapuram,-,250,"8.2481,77.5703"
WIND,Kavalkinaru,-,250,"8.2624,77.5674"
